period_time,ac_id,lng,lat,heading
36000,B8397,115.89546362011073,30.852032227824896,232.56475996629672
36000,B1428,113.83534628383157,30.189584408696035,24.072623085240455
36000,B6556,108.51883747896456,30.00158980232197,73.17015257944534
36000,B6625,114.56175484828549,32.7079874537098,184.56018000945465
36000,B7826,114.55663322852004,32.65392163111455,184.55738340745597
36000,B6696,115.72826231384109,30.741914059327772,232.47867741984317
36000,B6290,113.68075923692493,29.789555689168605,3.9036076212318305
36000,B1870,116.1647255634616,31.031140165959634,232.26542601846984
36000,B6750,114.56203460524202,32.71093877885497,184.56033985309207
36000,B9978,107.93103924267113,29.846078349063927,72.87699410326486
36000,B1708,115.25993896351012,30.447295903853824,259.768475348021
36000,B1957,113.9277048426862,30.368005866016315,24.12113736658559
36000,ACFT#375,110.55287138213858,28.96917399807732,68.13899187409048
36000,B8605,109.46077664514681,28.58181444287057,68.11267925468826
36000,B6511,114.72920952265957,34.450139540500416,184.591451131739
36000,B8543,113.97624994399347,34.09144274027397,165.40390530396735
36000,B6892,114.78226132558618,30.53522141877004,283.2137630233267
36000,B5300,109.69029665698505,27.910042940167276,358.11897278900454
36000,B6182,114.6265650271094,33.3864939111446,184.5954917836268
36000,B8635,113.87485129019448,30.265886534248093,24.091197067936527
36000,B5291,113.65880555572697,29.509566961231776,3.8927592053993756
36000,B6138,113.64709923412063,29.35962930188961,3.886996178445199
36000,B6073,114.64118941059199,33.53814154991422,184.60359827449847
36000,B6931,113.61278155618284,28.917106495228566,3.865513537837885
36000,B6308,113.67434991280808,29.707975082605792,3.900434615120539
36000,B2371,116.32527691777726,31.137183530850194,232.3685085703578
36000,B5858,113.94968539392157,34.1758267048003,165.3885577494562
36000,B3138,113.67380807019657,29.701071893327082,3.900161136892143
36000,B1712,114.99837910233427,30.490945329586463,283.3508399686391
36000,B8539,114.88386699557623,30.5143141473592,283.2920396839654
36000,B1662,110.34386339859383,28.89560562134808,68.03859412671484
36000,B2652,113.65884887328671,29.510120030113065,3.8927709743424703
36000,B5608,113.68350868617874,29.82451136407398,3.9049811197226756
36000,B1002,115.91475713080096,30.864842744444317,232.15705391747161
36000,B5685,111.59469238792803,28.422029827877214,303.119140876825
36180,B8397,115.54291008841868,30.6192853982158,232.38456516029623
36180,B1428,114.01630501057156,30.538325685375547,24.16408767920823
36180,B6556,108.94030152869676,30.115281300629107,72.54209982697714
36180,B6625,114.52752160793997,32.35718468981533,184.73230831814382
36180,B7826,114.52230951021554,32.30312642829984,184.58445858072312
36180,B6696,115.38572188290519,30.514844905685944,232.3041523699764
36180,B6290,113.81431814722154,30.14888175921896,24.062056303618643
36180,B1870,115.82167515320725,30.80349603404376,232.5265230076525
36180,B6750,114.52512502558528,32.33272225195462,184.73130108252784
36180,B9978,108.35271475911794,29.957952951152823,73.08720126327171
36180,B1708,114.83038549320052,30.525845984755062,283.20499424966664
36180,B1957,114.10934082278652,30.71661366853693,24.2134316531912
36180,ACFT#375,110.95800806928594,29.11248842097288,67.87307766329208
36180,B8605,109.85868825185112,28.723163319363504,67.80395475402075
36180,B6511,114.69228755887337,34.069261788136565,184.57033734410373
36180,B8543,114.08799751907193,33.73514987756082,165.36657159031435
36180,B6892,114.34664206768312,30.622507757242047,282.9921576446693
36180,B5300,109.67605292902383,28.29193454571942,358.11226430030234
36180,B6182,114.59006096796146,33.00561863392468,184.5755034008767
36180,B8635,114.0574940776687,30.617279282735545,24.183726213606974
36180,B5291,113.6885218004264,29.888183189176043,3.9074803859026033
36180,B6138,113.67693109389784,29.740845245514073,3.9017073548316854
36180,B6073,114.60455799521011,33.157270557570975,184.58345908549634
36180,B6931,113.64232337350043,29.29833198087932,3.884658338861944
36180,B6308,113.77548312394897,30.074453496849,24.056870579962414
36180,B2371,115.9698830137726,30.901579489328103,232.18535133228073
36180,B5858,114.0614797201444,33.81951990810402,165.35166829757566
36180,B3138,113.77241825979223,30.068096744096973,24.04829126039718
36180,B1712,114.56949647633785,30.57786615095612,283.13294817952266
36180,B8539,114.45183241211778,30.60144369261852,283.072394127613
36180,B1662,110.74340144048104,29.036034183041043,67.76913899904176
36180,B2652,113.6888168534684,29.891330163261284,5.007511334818742
36180,B5608,113.83056678189395,30.18110303933344,24.08451604241896
36180,B1002,115.55945904606327,30.630255194103757,232.39327377142513
36180,B5685,111.23008760442576,28.630310241494374,302.94502972603823
36360,B8397,115.16666689565604,30.456423514072448,283.4355059552398
36360,B1428,114.19856754115678,30.886815040511998,24.25716636103774
36360,B6556,109.36216868417775,30.22923113073851,72.75412491193872
36360,B6625,114.49424727336066,32.006324849887775,184.5698634021875
36360,B7826,114.48915277712372,31.95225987008912,184.5668237742839
36360,B6696,114.98516845938164,30.493794105520283,283.33313477379727
36360,B6290,113.99512648584259,30.497652082250394,24.15333408126165
36360,B1870,115.47869684983507,30.57667168761173,232.35145711983347
36360,B6750,114.48935800962838,31.95443745269902,184.56698940466876
36360,B9978,108.77475239034099,30.070118011953607,72.45853896212633
