period_time,ac_id,lng,lat,heading
36000,ACFT#395,114.19739580871074,33.385242959585966,165.42672960436676
36000,B8642,109.17270442302754,27.701323200386355,32.56044350474588
36000,B6325,113.58331275352045,28.501630757047312,3.359382672403552
36000,B5608,113.81553215843992,30.152019081573034,24.076961648582678
36000,B6978,114.59481480798915,33.05540469709193,184.57812208215628
36000,B2731,114.63506186106285,33.47466379996419,184.60021532768317
36000,B8420,114.73514272158594,30.5444864146504,283.2164924749195
36000,B5525,113.64031531917638,29.272537185807114,3.8836812770288303
36000,B1713,115.53907435515096,30.616739635589163,232.38292472441782
36000,B1313,109.55568839282715,33.11373340822895,181.56363701886445
36000,B2280,113.62369554580245,29.058265194157002,3.8702002348354103
36000,B1571,114.30403517351944,33.044344636784295,165.35580262395348
36000,B5392,109.57226486456342,33.62020843527347,181.57204463927403
36000,B6011,109.54294270893024,32.72052689862729,181.55740880280274
36000,B5233,113.93181423875203,30.376310234987912,24.131950287687904
36000,B1352,114.3302588019294,32.96013560196396,165.37008735301453
36000,B8421,114.8589822808546,30.519427478038725,283.27486100463307
36000,B6347,111.07569155031453,29.154228991227424,67.93094104924394
36000,B8120,114.64012219962117,33.5270931112672,184.60300308191245
36000,B2739,114.60080687625505,33.11807597071116,184.58144495035484
36000,B6750,114.53749049866143,32.45878899407789,184.73792675608493
36000,B5495,114.68477833990576,33.991372555167416,184.566134056409
36000,B6270,113.6553429611125,29.465263608473382,3.891055826260038
36000,B1230,109.35530228116558,28.14652479674702,11.011495258975382
36000,B5736,109.13002101471113,30.16672572690236,72.63736065492964
36000,B8680,116.13975687645258,31.014578067258736,232.2524701889173
36000,B5572,114.62068077146974,33.325325271433066,184.5922444452851
36000,B6516,114.58414292399911,32.94355494005242,184.57232399388747
36000,B5670,113.64980951298035,29.394383433523394,3.888332521697785
36000,B8318,112.92259969047832,32.725146345642344,121.6783793485907
36000,B8592,114.56717808587771,32.76516509836952,184.5631467001435
36000,B1712,115.85736403730593,30.826975240548464,232.54556904924726
36000,B2445,114.60091239907098,33.11918286957457,184.5814659722217
36000,B6917,108.14321796995546,29.90256961194446,72.9826833698403
36000,B7301,113.62440698035755,29.067485580573727,3.8711312044968067
