36840,1200,11300,113.00552139441464,30.11724576092964
36840,-1200,9200,112.74852567447509,30.623089288721655
36840,-1200,9500,112.64833236716223,29.919225998596392
37560,600,9200,111.34414309214323,29.24875525529995
37800,600,11000,110.6108182198557,30.441171696851033
36840,-600,9500,112.65899456075212,29.925133232257718
36840,-600,8400,113.23239530305752,30.646019685373705
36840,-600,8400,114.41244273422498,31.292235168698365
37680,600,8900,114.01384951324364,30.677275978744518
36840,1200,9800,114.37405009607582,31.21977048068724
37680,600,11300,113.98827894349765,30.663192054784762
37680,600,8900,113.8197872942069,30.570156668358912
36840,1200,10700,114.31112096183325,31.10071032889009
36840,1200,8400,113.29021515645871,30.65010408095032
37800,-600,10400,112.1770998300929,30.597145127813377
36840,-600,7800,114.21275783302376,30.91423662294821
36840,-600,9200,114.42113361294942,31.307906633474893
36840,-600,8400,114.04245489994479,30.58903448991267
36840,-600,10100,110.5042168556597,30.875427242124523
36840,1200,9800,114.24036844153319,30.966298122847626
36840,-600,10100,109.8681859637777,30.333102625068978
36600,600,9800,114.45668852388899,31.60984210711575
36840,1200,10100,110.24689312158432,30.957779888945975
36840,-600,8100,109.69487709641656,30.307222302595324
36840,1200,11600,114.51890348583629,32.26720082037873
37440,-600,10400,114.52775600106519,32.359572144323224
37680,600,10400,113.84731702009039,30.213300000086193
37680,600,9200,114.0792827938461,30.659237384896084
37680,600,9200,113.84580950582442,30.210182423006877
