step,section_0_reward,section_1_reward,section_2_reward,section_0_payload,section_1_payload,section_2_payload
53,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
54,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
55,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
56,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
57,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
58,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
59,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
60,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
61,173.19955833333313,0.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
62,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
63,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
64,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
65,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
66,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
67,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
68,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
69,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
70,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
71,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
72,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
73,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
74,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
75,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
76,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
77,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
78,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
79,0.0,0.0,32.373811111111024,760.6934999999997,552.7303936147185,301.6211873015874
80,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
81,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
82,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
83,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
84,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
85,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
86,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
87,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
88,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
89,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
90,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
91,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
92,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
93,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
94,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
95,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
96,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
97,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
98,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
99,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
100,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
101,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
102,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
103,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
104,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
105,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
106,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
107,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
108,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
109,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
110,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
111,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
112,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
113,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
114,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
115,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
116,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
117,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
118,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
119,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
120,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
121,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
122,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
123,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
124,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
125,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
126,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
127,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
128,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
129,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
130,0.0,10.0,0.0,760.6934999999997,552.7303936147185,301.6211873015874
131,0.0,0.0,10.0,760.6934999999997,552.7303936147185,301.6211873015874
132,0.0,83.2482730519481,0.0,597.4939416666666,625.9786666666666,301.6211873015874
133,0.0,0.0,10.0,597.4939416666666,625.9786666666666,301.6211873015874
134,10.0,0.0,0.0,597.4939416666666,625.9786666666666,301.6211873015874
135,10.0,0.0,0.0,597.4939416666666,625.9786666666666,301.6211873015874
136,0.0,0.0,10.0,597.4939416666666,625.9786666666666,301.6211873015874
137,0.0,0.0,63.6088365079363,597.4939416666666,625.6917000000001,355.2300238095237
138,10.0,0.0,0.0,597.4939416666666,625.6917000000001,355.2300238095237
139,10.0,0.0,0.0,597.4939416666666,625.6917000000001,355.2300238095237
140,0.0,0.0,10.0,597.4939416666666,625.6917000000001,355.2300238095237
141,173.19955833333313,0.0,0.0,760.6934999999997,536.3643202741703,355.2300238095237
142,0.0,0.0,10.0,760.6934999999997,536.3501202741703,355.2300238095237
143,0.0,99.34157972582977,0.0,597.4939416666666,625.6917000000001,355.2300238095237
144,0.0,0.0,10.0,597.4939416666666,625.6917000000001,355.2300238095237
145,10.0,0.0,0.0,597.4939416666666,625.6917000000001,355.2300238095237
146,0.0,0.0,10.0,597.4939416666666,625.6917000000001,355.2300238095237
147,10.0,0.0,0.0,597.4939416666666,625.6917000000001,355.2300238095237
148,0.0,0.0,10.0,597.4939416666666,625.6917000000001,355.2300238095237
149,10.0,0.0,0.0,597.4939416666666,625.6917000000001,355.2300238095237
150,0.0,0.0,12.050304761904954,597.4939416666666,643.0644833333334,357.28032857142864
151,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
152,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
153,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
154,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
155,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
156,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
157,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
158,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
159,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
160,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
161,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
162,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
163,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
164,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
165,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
166,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
167,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
168,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
169,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
170,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
171,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
172,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
173,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
174,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
175,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
176,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
177,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
178,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
179,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
180,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
181,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
182,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
183,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
184,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
185,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
186,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
187,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
188,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
189,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
190,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
191,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
192,0.0,0.0,10.0,597.4939416666666,643.0644833333334,357.28032857142864
193,10.0,0.0,0.0,597.4939416666666,643.0644833333334,357.28032857142864
194,0.0,0.0,41.031379761904645,597.4939416666666,667.0501666666667,388.3117083333333
195,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
196,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
197,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
198,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
199,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
200,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
201,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
202,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
203,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
204,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
205,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
206,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
207,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
208,0.0,0.0,10.0,597.4939416666666,667.0501666666667,388.3117083333333
209,10.0,0.0,0.0,597.4939416666666,667.0501666666667,388.3117083333333
210,0.0,0.0,11.872254256854376,597.4939416666666,620.5882833333335,390.18396259018766
211,10.0,0.0,0.0,597.4939416666666,620.5882833333335,390.18396259018766
212,0.0,0.0,38.527732034631924,597.4939416666666,584.0660833333338,418.7116946248196
213,0.0,10.0,0.0,597.4939416666666,584.0660833333338,418.7116946248196
214,0.0,0.0,26.876161232068682,597.4939416666666,601.5476000000006,435.58785585688827
215,10.0,0.0,0.0,597.4939416666666,601.5476000000006,435.58785585688827
216,0.0,0.0,10.0,597.4939416666666,601.5476000000006,435.58785585688827
217,0.0,0.0,10.0,597.4939416666666,601.5476000000006,435.58785585688827
218,173.19955833333313,0.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
219,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
220,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
221,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
222,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
223,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
224,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
225,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
226,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
227,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
228,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
229,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
230,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
231,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
232,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
233,0.0,0.0,10.0,760.6934999999997,488.8051785714286,435.58785585688827
234,0.0,10.0,0.0,760.6934999999997,488.8051785714286,435.58785585688827
235,0.0,0.0,34.563456541252776,760.6934999999997,489.5657541619199,460.15131239814104
236,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
237,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
238,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
239,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
240,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
241,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
242,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
243,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
244,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
245,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
246,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
247,0.0,10.0,0.0,760.6934999999997,489.5657541619199,460.15131239814104
248,0.0,0.0,10.0,760.6934999999997,489.5657541619199,460.15131239814104
249,0.0,88.74291250474766,0.0,597.4939416666666,568.3086666666676,460.15131239814104
250,0.0,0.0,10.0,597.4939416666666,568.3086666666676,460.15131239814104
251,0.0,62.2796166666659,0.0,534.5427414141409,620.5882833333335,460.15131239814104
252,0.0,0.0,-35.75621557274434,534.5427414141409,584.1034583333338,414.3950968253967
253,10.0,0.0,0.0,534.5427414141409,584.1034583333338,414.3950968253967
254,0.0,0.0,10.0,534.5427414141409,584.1034583333338,414.3950968253967
255,10.0,0.0,0.0,534.5427414141409,584.1034583333338,414.3950968253967
256,0.0,0.0,37.77071104728594,534.5427414141409,601.5476000000006,442.16580787268265
257,10.0,0.0,0.0,534.5427414141409,601.5476000000006,442.16580787268265
258,0.0,0.0,61.140711599511974,534.5427414141409,594.494452380953,493.3065194721946
259,10.0,0.0,0.0,534.5427414141409,594.494452380953,493.3065194721946
260,0.0,0.0,10.0,534.5427414141409,594.494452380953,493.3065194721946
261,10.0,0.0,0.0,534.5427414141409,594.494452380953,493.3065194721946
262,0.0,0.0,10.0,534.5427414141409,594.494452380953,493.3065194721946
263,10.0,0.0,0.0,534.5427414141409,594.494452380953,493.3065194721946
264,0.0,0.0,10.0,534.5427414141409,594.494452380953,493.3065194721946
265,10.0,0.0,0.0,534.5427414141409,594.494452380953,493.3065194721946
266,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
267,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
268,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
269,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
270,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
271,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
272,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
273,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
274,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
275,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
276,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
277,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
278,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
279,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
280,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
281,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
282,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
283,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
284,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
285,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
286,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
287,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
288,0.0,0.0,51.157154337329075,534.5427414141409,485.8993928571428,534.4636738095237
289,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
290,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
291,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
292,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
293,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
294,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
295,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
296,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
297,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
298,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
299,0.0,10.0,0.0,534.5427414141409,485.8993928571428,534.4636738095237
300,0.0,118.22739285714357,0.0,534.5427414141409,594.1267857142864,493.3065194721946
301,0.0,0.0,10.0,534.5427414141409,594.1267857142864,493.3065194721946
302,10.0,0.0,0.0,534.5427414141409,594.1267857142864,493.3065194721946
