step,section_0_payload,section_1_payload,section_2_payload,section_1_reward,section_2_reward,section_0_reward
1,0.0,0.0,0.0,0.0,0.0,0.0
2,717.768,699.5585000000001,319.3224999999999,0.0,0.0,0.0
3,549.5567394300141,725.1249999999997,279.24737619047636,35.566499999999564,0.0,0.0
4,549.5567394300141,725.1249999999997,279.24737619047636,35.566499999999564,10.0,0.0
5,586.7125333333329,625.564,279.24737619047636,35.566499999999564,10.0,47.155793903318795
6,586.7125333333329,625.564,279.24737619047636,35.566499999999564,10.0,47.155793903318795
7,760.8624999999998,601.8509007936509,279.24737619047636,35.566499999999564,10.0,184.14996666666696
8,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
9,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
10,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
11,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
12,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
13,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
14,760.8624999999998,601.8509007936509,279.24737619047636,10.0,10.0,184.14996666666696
15,760.8624999999998,601.8509007936509,279.24737619047636,10.0,10.0,184.14996666666696
16,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
17,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
18,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
19,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
20,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
21,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
22,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
23,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
24,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
25,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
26,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
27,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
28,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
29,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
30,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
31,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
32,586.7125333333329,625.564,279.24737619047636,33.71309920634906,10.0,184.14996666666696
33,760.8624999999998,601.8509007936509,279.24737619047636,33.71309920634906,10.0,184.14996666666696
